Date,Size,Food_Name,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar
01/05/24,100 g,"Homemade - Ayam Bakar, 100 g",167.0,0.0,7.0,25.0,75.0,0.0
02/05/24,150 gram,"Nasi - Nasi putih, 150 gram",225.0,60.0,1.0,5.0,0.0,0.0
02/05/24,85 g,"Homemade - Chicken Katsu, 85 g",192.0,5.0,8.0,25.0,0.0,2.0
02/05/24,1 unid,"Donats - Donats, 1 unid",226.0,25.0,13.0,4.0,0.0,0.0
02/05/24,40 gram,"roti andalas - roti durian, 40 gram",170.0,24.0,8.0,2.0,0.0,9.0
02/05/24,120 gram,"Nasi Pecel - Nasi Pecel, 120 gram",276.0,38.0,11.0,8.0,9.0,11.0
02/05/24,95 gram,"Ayam - Ayam Goreng Serundeng, 95 gram",220.0,62.0,135.0,184.0,0.0,0.0
03/05/24,1 plate,"Ayam Bakar - Nasi Ayam Bakar, 1 plate",620.0,30.0,25.0,63.0,123.0,5.0
03/05/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
03/05/24,84 g,"Ayam Goreng - Ayam Goreng, 84 g - 1 ketul",189.0,0.0,0.0,0.0,0.0,0.0
04/05/24,1 unit,"ABC susu - Kopi susu, 1 unit",140.0,27.0,3.0,1.0,15.0,20.0
04/05/24,151.5 gram,"nasi - nasi, 151.5 gram",150.0,31.0,5.0,8.0,0.0,0.0
04/05/24,180 g,"Ayam Goreng - Ayam Goreng, 180 g - 1 ketul",405.0,0.0,0.0,0.0,0.0,0.0
04/05/24,0.5 roll,"Gimbap, 0.5 roll",217.0,25.0,9.0,9.0,530.0,6.0
04/05/24,3 kotak,"Susu uht - Susu, 3 kotak",270.0,33.0,8.0,21.0,315.0,0.0
05/05/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
05/05/24,1 slice,"Generic - Telur Dadar Minang, 1 slice",54.0,0.0,0.0,0.0,0.0,0.0
05/05/24,100 gram,"Ayam Goreng Dada - Ayam Goreng Dada, 100 gram",216.0,0.0,9.0,32.0,430.0,0.0
05/05/24,303 gram,"nasi - nasi, 303 gram",300.0,61.0,10.0,16.0,0.0,0.0
05/05/24,0.5 porsi,"Generic - Soto Ayam Ambengan, 0.5 porsi",486.0,44.0,29.0,14.0,0.0,0.0
05/05/24,2 pc,"Tempe - Tempe Bacem, 2 pc",156.0,2.0,10.0,16.0,0.0,0.0
05/05/24,1 unid,"Donats - Donats, 1 unid",226.0,25.0,13.0,4.0,0.0,0.0
07/05/24,1 bungkus,"Sari Roti Coklat - Roti isi selai coklat, 1 bungkus",120.0,19.0,4.0,3.0,230.0,6.0
07/05/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
07/05/24,20 g,"Generic - Dendeng Balado, 20 g",169.0,0.0,0.0,0.0,0.0,0.0
07/05/24,0.5 potong,"Restoran Padang - Telur Dadar, 0.5 potong",218.0,0.0,13.0,4.0,0.0,0.0
07/05/24,1 plate,"Indonesian - Mie Aceh, 1 plate",238.0,0.0,0.0,0.0,0.0,0.0
07/05/24,0.5 potong,"Restoran Padang - Telur Dadar, 0.5 potong",218.0,0.0,13.0,4.0,0.0,0.0
08/05/24,303 gram,"nasi - nasi, 303 gram",300.0,61.0,10.0,16.0,0.0,0.0
08/05/24,50 g,"Generic - Ayam Goreng (Paha), 50 g",173.0,6.0,13.0,9.0,0.0,0.0
08/05/24,60 gram,"Tempe Goreng - Tempe Goreng, 60 gram",135.0,7.0,9.0,11.0,166.0,0.0
08/05/24,110 gram,"Rumahan - Tahu Goreng, 110 gram (potongan besar)",75.0,7.0,3.0,5.0,0.0,0.0
08/05/24,70 gram,"Carmelia - Roti coklat, 70 gram",240.0,36.0,8.0,7.0,0.0,0.0
08/05/24,120 ml,"milku - susu coklat, 120 ml",96.0,13.0,3.0,4.0,63.0,0.0
08/05/24,303 gram,"nasi - nasi, 303 gram",300.0,61.0,10.0,16.0,0.0,0.0
08/05/24,100 g,"Homemade - Ayam Bakar, 100 g",167.0,0.0,7.0,25.0,75.0,0.0
08/05/24,3 Telur,"Telur - Telur Puyuh, 3 Telur",42.0,0.0,3.0,4.0,39.0,0.0
09/05/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
09/05/24,112.2 gr,"Padang - Gulai sapi cincang, 112.2 gr",122.0,3.0,5.0,15.0,253.0,1.0
09/05/24,300 gram,"Nasi - Nasi putih, 300 gram",450.0,120.0,2.0,9.0,0.0,0.0
09/05/24,3 Potong,"Generic - Tempe Mendoan, 3 Potong",180.0,11.0,11.0,10.0,210.0,0.0
09/05/24,100 g,"Homemade - Ayam Bakar, 100 g",167.0,0.0,7.0,25.0,75.0,0.0
09/05/24,100 ml,"Banana milk - Susu pisang, 100 ml",66.0,12.0,2.0,1.0,0.0,9.0
10/05/24,0.5 porsi,"Generic - Soto Ayam Ambengan, 0.5 porsi",486.0,44.0,29.0,14.0,0.0,0.0
10/05/24,303 gram,"nasi - nasi, 303 gram",300.0,61.0,10.0,16.0,0.0,0.0
10/05/24,2 Potong,"Generic - Tempe Mendoan, 2 Potong",120.0,8.0,8.0,7.0,140.0,0.0
10/05/24,60 g,"Fatsecret - Donat Dilapisi Coklat, 60 g",284.0,29.0,19.0,3.0,0.0,14.0
10/05/24,303 gram,"nasi - nasi, 303 gram",300.0,61.0,10.0,16.0,0.0,0.0
10/05/24,1 piece,"Ayam Bakar, 1 piece, leg",439.0,21.0,21.0,41.0,1663.0,16.0
11/05/24,1 Porsi,"Generic - Nasi Ayam Geprek, 1 Porsi",789.0,2281.0,5397.0,32254.0,1380.0,234.0
11/05/24,2 plate,"Homemade - Nasi Goreng, 2 plate",318.0,52.0,8.0,9.0,0.0,0.0
11/05/24,0.5 potong,"Restoran Padang - Telur Dadar, 0.5 potong",218.0,0.0,13.0,4.0,0.0,0.0
12/05/24,120 gram,"Nasi Pecel - Nasi Pecel, 120 gram",276.0,38.0,11.0,8.0,9.0,11.0
12/05/24,95 gram,"Ayam - Ayam Goreng Serundeng, 95 gram",220.0,62.0,135.0,184.0,0.0,0.0
12/05/24,300 gram,"Nasi - Nasi putih, 300 gram",450.0,120.0,2.0,9.0,0.0,0.0
12/05/24,1 pcs,"Sarimi - Ayam bawang isi 2, 1 pcs",510.0,70.0,20.0,13.0,2150.0,3.0
12/05/24,1 potong,"KFC Ayam Goreng - Paha/Drumstick, 1 potong (50 gr)",180.0,5.0,12.0,10.0,0.0,0.0
13/05/24,150 gr,"Fatsecret - Nasi Kuning, 150 gr",225.0,31.0,0.0,4.0,1304.0,1.0
13/05/24,1 Butir,"Generic - Telur Dadar, 1 Butir",154.0,1.0,9.0,11.0,155.0,0.0
13/05/24,200 gram,"Chef Select Nasi Goreng - Nasi Goreng, 200 gram",326.0,44.0,9.0,15.0,2000.0,1.0
03/10/24,300 gram,"Nasi - Nasi putih, 300 gram",450.0,120.0,2.0,9.0,0.0,0.0
03/10/24,1 medium,"Fried chicken breast, 1 medium",425.0,11.0,25.0,38.0,523.0,0.0
04/10/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
04/10/24,50 g,"Generic - Ayam Goreng (Paha), 50 g",173.0,6.0,13.0,9.0,0.0,0.0
